"Agency Name:","County of Court","Warrant Number","Submitted","Nature of the investigation","Primary Nature","Crime of Violence Options","Secondary Nature","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Simi Valley Police Department","Ventura"," ","01/02/2020 - 14:02","Victim was raped by multiple suspects.  She can only identify through their Instagram account.","Crime of Violence","Rape","Minors","Business","Instagram","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
","Fri, 2019-09-13","Thu, 2020-01-02","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Anaheim PD","Orange"," ","01/02/2020 - 15:41","To identify the suspect who is selling marijuana items to juveniles","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
cell tower information
","Sun, 2018-11-11","Thu, 2019-01-31","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Anaheim PD","Orange"," ","01/02/2020 - 15:44","to identify the suspect who is selling marijuana items to juveniles","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2018-11-11","Fri, 2019-04-05","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Lemoore Police Department","Kings","20-003B","01/03/2020 - 14:18","The female who has control of the cell phone reported she wanted to harm herself. Multiple attempts were made to locate her, but she was not found. Patrol Officers had no other choice than to ping the cell phone which provided a location for the female. ","Emergency Cell Phone Ping"," "," ","Device Only"," ","Location information","Thu, 2020-01-02","Fri, 2020-01-03","Electronic information pursuant to an emergency involving danger of death, or serious bodily injury to person, that requires..."," ","Yes","The female stated she was going to kill herself and sent a photo of a pistol to the reporting party. She was no where to be found which created the need to locate her to check her welfare. She was located and was in unharmed. "
"Los Angeles Police Department","Los Angeles","CC19-82516","01/06/2020 - 07:45","Homicide investigation","Homicide"," "," ","Device Only"," ","Communications (email, text, voice mail, or other communication)","Fri, 2019-04-19","Wed, 2020-01-01","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Alameda County District Attorney's Office","Alameda","WAR561744","01/06/2020 - 10:09","It is alleged that after signing a contract to have a roof replaced, a unknown suspect, possibly the sales person,
without the authorization of the homeowner, created an email account and DocuSign account in the homeowners name
which were used to secure a PACE(Property Assessed Clean Energy financing )loan through the company PACE
Funding Group LLC in the homeowner's name. The homeowner only became aware of the loan when a lien was
placed on his property and he saw the added charge on his property tax bill.
","Theft/Fraud"," ","ID Theft","Business","DocuSign Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2018-05-01","Wed, 2018-08-01","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Alameda County District Attorney's Office","Alameda","WAR560946","01/06/2020 - 10:44","It is alleged that after signing a contract to have a roof replaced, a unknown suspect, possibly the sales person,
without the authorization of the homeowner, created an email account and DocuSign account in the homeowners name
which were used to secure a PACE(Property Assessed Clean Energy Financing )loan through the company PACE
Funding LLC in the homeowner's name. The homeowner only became aware of the loan when a lien was placed on his
property and he saw the added charge on his property tax bill.","Theft/Fraud"," ","ID Theft","Business","Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2018-05-01","Wed, 2018-08-01","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Alameda County District Attorney's Office","Alameda","WAR569213","01/06/2020 - 10:58","It is alleged that after signing a contract to have a roof replaced, a unknown suspect, possibly the sales person,
without the authorization of the homeowner, created an email account and DocuSign account in the homeowners name
which were used to secure a PACE(Property Assessed Clean Energy financing )loan through the company PACE
Funding Group LLC in the homeowner's name. The homeowner only became aware of the loan when a lien was
placed on his property and he saw the added charge on his property tax bill.","Theft/Fraud"," ","ID Theft","Business","Verizon Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
","Wed, 2018-05-09","Wed, 2018-06-13","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Pleasant Hill Police Department","Contra Costa","MS19-1018","01/06/2020 - 11:58","Accessory after the fact for a Homicide. ","Homicide"," "," ","Device Only"," ","Location information","Mon, 2019-12-09","Wed, 2019-12-11","was used as the means of committing a felony"," ","No"," "
"Pleasant Hill Police Department","Contra Costa","MS19-140","01/06/2020 - 12:01","Homicide suspect on the run for 15 years. ","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","Thu, 2019-01-24","Mon, 2019-02-18","was used as the means of committing a felony"," ","No"," "
"Gonzales Police Department","Monterey","20-008","01/06/2020 - 15:04","Great Bodily Injury ","Crime of Violence","Assault
Robbery
","Gang Related","Device Only"," ","Basic subscriber information from a service provider","Mon, 2020-01-06","Mon, 2020-04-06","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Sacramento County Sheriff's Dept","Sacramento","19SW03114","01/06/2020 - 17:20","Homicide.  Search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Facebook (Instagram)","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Mon, 2019-11-04","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","19SW03114","01/06/2020 - 17:22","Homicide.  Search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Facebook (Instagram)","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Mon, 2019-11-04","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","19SW03114","01/06/2020 - 17:23","Homicide.  Search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Facebook (Instagram)","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Mon, 2019-11-04","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Department","Sacramento","19SW3344","01/07/2020 - 10:46","Homicide.  The search warrant was ordered ""sealed"" by the court. ","Homicide"," "," ","Business","Google, Hotmail, Yahoo","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Wed, 2019-11-06","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","19SW3344","01/07/2020 - 10:48","Homicide.  The search warrant was ordered ""sealed"" by the court. ","Homicide"," "," ","Business","Google, Hotmail, Yahoo","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Wed, 2019-11-06","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","19SW3344","01/07/2020 - 10:51","Homicide.  The search warrant was ordered ""sealed"" by the court. ","Homicide"," "," ","Business","Google, Hotmail, Yahoo","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Wed, 2019-11-06","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Department ","Sacramento","19SW3344","01/07/2020 - 10:52","Homicide.  The search warrant was ordered ""sealed"" by the court. ","Homicide"," "," ","Business","Google, Yahoo, Hotmail","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Wed, 2019-11-06","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Department ","Sacramento","19SW3344","01/07/2020 - 10:54","Homicide.  The search warrant was ordered ""sealed"" by the court. ","Homicide"," "," ","Business","Google, Hotmail, Yahoo","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Wed, 2019-11-06","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Orange County Sheriff's Department","Orange","20-11037","01/07/2020 - 13:52","Records related to the suspect of a robbery investigation.","Crime of Violence","Robbery"," ","Business","Verizon and Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Thu, 2019-02-28","Sat, 2019-03-02","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"LAPD/South Bureau Homicide","Los Angeles","79-2019-SW601","01/07/2020 - 19:30","Murder investigation","Homicide"," "," ","Business","Facebook/Instagram","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-01-01","Fri, 2019-09-20","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Los Angeles Police Department","Los Angeles"," ","01/08/2020 - 07:53","Suspect used TextNow.com VOIP to call in a bomb threat to LA Convention Center. Textnow.com provided suspect's Gmail account after being served with search warrant.","Threats/Harassment"," "," ","Business","Google, Inc.","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Sun, 2019-12-01","Mon, 2020-01-06","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Oxnard Police Department","Ventura"," ","01/08/2020 - 09:43","A series of burglaries","Burglary"," "," ","Business","AT&T","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-04-23","Tue, 2019-07-23","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Pismo Beach Police Department","San Luis Obispo","13376","01/08/2020 - 11:14","Armed robbery","Theft/Fraud"," "," ","Business","Google","Location information","Wed, 2019-10-02","Wed, 2019-10-02","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"San Jose Police Department","Santa Clara","CSW57076","01/08/2020 - 12:38","Child victim reported sexual exploitation to Police.","Child Exploitation"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","Mon, 2019-08-12","Sun, 2019-08-18","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence","No"," "
"San Jose Police Department","Santa Clara"," ","01/08/2020 - 17:01","Homicide investigation","Homicide"," "," ","Business","Google Inc","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","Thu, 2019-06-06","Thu, 2019-06-06","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"San Jose Police Department","Santa Clara"," ","01/08/2020 - 17:04","Homicide Investigation","Homicide"," "," ","Business","Google Inc","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","Thu, 2019-06-06","Thu, 2019-06-06","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
